CL_ID,SRC_STM_ID,CL_SCM_ID,EFF_DT,END_DT,CL_CODE,CL_NM,CL_SCM_CODE
DBE763E7964B388C28820AD284149683,1B84138E1C2A1D5E4AE9CDF377FF0D71,016D519AA2C1CD115D7EE0FB82DBCE7C,00:00.0,00:00.0,108,/BANK/MM/MM INTERBANK/MM PLACE-BORROW/MM TRADING/MMTRAD-DEPL2/MMTRAD-TL4/MMTRAD-DLR11,TDG_BOOK
2D140ABE4F0BF2FBAF211622956D9DA1,1B84138E1C2A1D5E4AE9CDF377FF0D71,016D519AA2C1CD115D7EE0FB82DBCE7C,00:00.0,00:00.0,24,/BANK/FX/FX TRADING/FXSPOT/OTHFCY-SPOT,TDG_BOOK
9319E9B75517B1BF6A09239DEC25C7C9,0C4AA62D62271D5A08C766D9684C2614,FF3A8877C12A5964ACFFC20AEDE09AAD,00:00.0,00:00.0,31,MMTLOV,FNC_MKT_TXN_SBTP
1AB95A63514AB580697FCDBDE759A5FC,1B84138E1C2A1D5E4AE9CDF377FF0D71,016D519AA2C1CD115D7EE0FB82DBCE7C,00:00.0,00:00.0,251,/BANK/GOLD/GOLD TRADING/GOLDTRSP/GOLDTRSP-G1/GOLDTRSP-G1-DLR1,TDG_BOOK
1844DB12836AFA54CC636B06AA696AD6,1B84138E1C2A1D5E4AE9CDF377FF0D71,016D519AA2C1CD115D7EE0FB82DBCE7C,00:00.0,00:00.0,146,/BANK/MM/MM INTERBANK/MM REPO-REV/MM REPO-REV TRADING/MMRP-REVTRD-DEPL2/MMRP-REVTRD-TL3,TDG_BOOK
260DB80F8E8ED0BCD62CA484E756E0D2,1B84138E1C2A1D5E4AE9CDF377FF0D71,016D519AA2C1CD115D7EE0FB82DBCE7C,00:00.0,00:00.0,41,/BANK/FX/FX TRADING/FXFWD,TDG_BOOK
7657E9D6C95A7D65EB5B4EDB163AFEFA,1B84138E1C2A1D5E4AE9CDF377FF0D71,016D519AA2C1CD115D7EE0FB82DBCE7C,00:00.0,00:00.0,50,/BANK/FX/FX TRADING/FXFWD/USD-VND-FWD/USDVND-FWDDLR/USDVND-FWDDLR7,TDG_BOOK
426EB983532328C29F7B79F268D298E5,1B84138E1C2A1D5E4AE9CDF377FF0D71,016D519AA2C1CD115D7EE0FB82DBCE7C,00:00.0,00:00.0,99,/BANK/MM/MM INTERBANK/MM PLACE-BORROW/MM TRADING/MMTRAD-DEPL1/MMTRAD-TL2/MMTRAD-DLR5,TDG_BOOK
1FBC403B9BBC47C723F1997CC0CE065D,1B84138E1C2A1D5E4AE9CDF377FF0D71,016D519AA2C1CD115D7EE0FB82DBCE7C,00:00.0,00:00.0,113,/BANK/MM/MM INTERBANK/MM FXSWAP/MM SWAP TRADING,TDG_BOOK
226CFF421F93817F0521D6978FBBA80D,1B84138E1C2A1D5E4AE9CDF377FF0D71,016D519AA2C1CD115D7EE0FB82DBCE7C,00:00.0,00:00.0,348,/BANK/MM/MM INTERBANK/MM BILLS/MM BILLS TRADING/MM BILLS TRADING HTM/MMBLTRDDEPL2/MMBLTRDTL3,TDG_BOOK
D4C00C037F6AC113B77184CE60E2BB66,2F1D8D79A378998A8FFA53D30A350EEA,107BF40C168AF7B54AD957D9878D00EE,00:00.0,00:00.0,29300,SX P.TÙNG&B.PHẬN PHỤ TRỢ CHO XE CÓ ĐỘNG CƠ & ĐC XE,LOAN_PPS_LVL_5
2D46D067908FE9AE1B4BB88168A022FE,2F1D8D79A378998A8FFA53D30A350EEA,107BF40C168AF7B54AD957D9878D00EE,00:00.0,00:00.0,3210,NUÔI TRỒNG THUỶ SẢN BIỂN  TÔM,LOAN_PPS_LVL_5
A36BC2C39CF2E0D72FD4AA2DCE98F95E,2F1D8D79A378998A8FFA53D30A350EEA,D26BCC2FCDE521F838C1A7DB50B2AFD4,00:00.0,00:00.0,AI55,DỊCH VỤ LƯU TRÚ,LOAN_PPS_LVL_2
902830762C69239D3070220524B06075,2F1D8D79A378998A8FFA53D30A350EEA,D26BCC2FCDE521F838C1A7DB50B2AFD4,00:00.0,00:00.0,AR91,"HĐ CỦA THƯ VIỆN, LƯU TRỮ, BẢO TÀNG & CÁC HĐVH KHÁC",LOAN_PPS_LVL_2
4A111FE4827AE559DA55CDDA92388DCC,31F64F7633E258A3B804B4CFB64EC598,DA409D3B0A8D2BCDAE51C8CFAD62C991,00:00.0,00:00.0,01WFB,NH WELLS FARGO (MỸ) TẠI VIỆT NAM,RI_TP_LVL_3
